year,month,produced_material,produced_material_production_type,produced_material_release_type,produced_material_quantity,component_material,component_material_production_type,component_material_release_type,component_material_quantity,plant_id
2024,4,50000,8002,PROD,783.00,90001,,ADD,19.00,RLT_10
2024,4,80070,8007,PROD,896.00,80010,8001,PROD,"3,541.00",RLT_10
2024,4,80070,8007,PROD,896.00,90002,,ADD,30.00,RLT_10
2024,4,80070,8007,PROD,896.00,90003,,ADD,9.00,RLT_10
2024,4,80010,8001,PROD,"1,781.00",80000,8000,PROD,"1,849.00",RLT_10
2024,4,80010,8001,PROD,"1,781.00",90004,,ADD,98.00,RLT_10
2024,4,80000,8000,PROD,"1,955.00",70000,,RM,"2,729.00",RLT_10
2024,4,80000,8000,PROD,"1,955.00",90005,,ADD,70.00,RLT_10
2024,5,10000,8002,FIN,"1,004.00",50000,8002,PROD,"1,004.00",RLT_10
2024,5,50000,8002,PROD,750.00,80070,8007,PROD,937.00,RLT_10
2024,5,50000,8002,PROD,750.00,90000,,ADD,51.00,RLT_10
2024,5,50000,8002,PROD,750.00,90001,,ADD,21.00,RLT_10
2024,5,80070,8007,PROD,929.00,80010,8001,PROD,"3,440.00",RLT_10
2024,5,80070,8007,PROD,929.00,90002,,ADD,29.00,RLT_10
2024,5,80070,8007,PROD,929.00,90003,,ADD,10.00,RLT_10
2024,5,80010,8001,PROD,"1,742.00",80000,8000,PROD,"2,073.00",RLT_10
2024,5,80010,8001,PROD,"1,742.00",90004,,ADD,109.00,RLT_10
2024,5,80000,8000,PROD,"2,077.00",70000,,RM,"2,714.00",RLT_10
2024,5,80000,8000,PROD,"2,077.00",90005,,ADD,63.00,RLT_10
2024,6,10000,8002,FIN,906.00,50000,8002,PROD,906.00,RLT_10
2024,6,50000,8002,PROD,826.00,80070,8007,PROD,993.00,RLT_10
2024,6,50000,8002,PROD,826.00,90000,,ADD,52.00,RLT_10
2024,6,50000,8002,PROD,826.00,90001,,ADD,20.00,RLT_10
2024,6,80070,8007,PROD,905.00,80010,8001,PROD,"3,576.00",RLT_10
2024,6,80070,8007,PROD,905.00,90002,,ADD,32.00,RLT_10
2024,6,80070,8007,PROD,905.00,90003,,ADD,10.00,RLT_10
2024,6,80010,8001,PROD,"1,730.00",80000,8000,PROD,"1,910.00",RLT_10
2024,6,80010,8001,PROD,"1,730.00",90004,,ADD,98.00,RLT_10
2024,6,80000,8000,PROD,"1,830.00",70000,,RM,"2,344.00",RLT_10
2024,6,80000,8000,PROD,"1,830.00",90005,,ADD,71.00,RLT_10
2024,7,10000,8002,FIN,983.00,50000,8002,PROD,983.00,RLT_10
2024,7,50000,8002,PROD,796.00,80070,8007,PROD,972.00,RLT_10
2024,7,50000,8002,PROD,796.00,90000,,ADD,49.00,RLT_10
2024,7,50000,8002,PROD,796.00,90001,,ADD,19.00,RLT_10
2024,7,80070,8007,PROD,900.00,80010,8001,PROD,"3,951.00",RLT_10
2024,7,80070,8007,PROD,900.00,90002,,ADD,29.00,RLT_10
2024,7,80070,8007,PROD,900.00,90003,,ADD,10.00,RLT_10
2024,7,80010,8001,PROD,"1,963.00",80000,8000,PROD,"1,974.00",RLT_10
2024,7,80010,8001,PROD,"1,963.00",90004,,ADD,109.00,RLT_10
2024,7,80000,8000,PROD,"2,157.00",70000,,RM,"2,451.00",RLT_10
2024,7,80000,8000,PROD,"2,157.00",90005,,ADD,69.00,RLT_10
2024,8,10000,8002,FIN,913.00,50000,8002,PROD,913.00,RLT_10
2024,8,50000,8002,PROD,832.00,80070,8007,PROD,876.00,RLT_10
2024,8,50000,8002,PROD,832.00,90000,,ADD,51.00,RLT_10
2024,8,50000,8002,PROD,832.00,90001,,ADD,19.00,RLT_10
2024,8,80070,8007,PROD,821.00,80010,8001,PROD,"3,059.00",RLT_10
2024,8,80070,8007,PROD,821.00,90002,,ADD,27.00,RLT_10
2024,8,80070,8007,PROD,821.00,90003,,ADD,10.00,RLT_10
2024,8,80010,8001,PROD,"1,625.00",80000,8000,PROD,"2,198.00",RLT_10
2024,8,80010,8001,PROD,"1,625.00",90004,,ADD,109.00,RLT_10
2024,8,80000,8000,PROD,"2,041.00",70000,,RM,"2,420.00",RLT_10
2024,8,80000,8000,PROD,"2,041.00",90005,,ADD,68.00,RLT_10
2024,9,10000,8002,FIN,"1,006.00",50000,8002,PROD,"1,006.00",RLT_10
2024,9,50000,8002,PROD,834.00,80070,8007,PROD,835.00,RLT_10
2024,9,50000,8002,PROD,834.00,90000,,ADD,48.00,RLT_10
2024,9,50000,8002,PROD,834.00,90001,,ADD,19.00,RLT_10
2024,9,80070,8007,PROD,870.00,80010,8001,PROD,"3,171.00",RLT_10
2024,9,80070,8007,PROD,870.00,90002,,ADD,27.00,RLT_10
2024,9,80070,8007,PROD,870.00,90003,,ADD,10.00,RLT_10
2024,9,80010,8001,PROD,"1,706.00",80000,8000,PROD,"1,740.00",RLT_10
2024,9,80010,8001,PROD,"1,706.00",90004,,ADD,109.00,RLT_10
2024,9,80000,8000,PROD,"1,846.00",70000,,RM,"2,182.00",RLT_10
2024,9,80000,8000,PROD,"1,846.00",90005,,ADD,71.00,RLT_10
2024,10,10000,8002,FIN,960.00,50000,8002,PROD,960.00,RLT_10
2024,10,50000,8002,PROD,810.00,80070,8007,PROD,933.00,RLT_10
2024,10,50000,8002,PROD,810.00,90000,,ADD,55.00,RLT_10
2024,10,50000,8002,PROD,810.00,90001,,ADD,20.00,RLT_10
2024,10,80070,8007,PROD,894.00,80010,8001,PROD,"3,889.00",RLT_10
2024,10,80070,8007,PROD,894.00,90002,,ADD,31.00,RLT_10
2024,10,80070,8007,PROD,894.00,90003,,ADD,11.00,RLT_10
2024,10,80010,8001,PROD,"1,803.00",80000,8000,PROD,"1,814.00",RLT_10
2024,10,80010,8001,PROD,"1,803.00",90004,,ADD,102.00,RLT_10
2024,10,80000,8000,PROD,"1,845.00",70000,,RM,"2,545.00",RLT_10
2024,10,80000,8000,PROD,"1,845.00",90005,,ADD,70.00,RLT_10
2024,11,10000,8002,FIN,955.00,50000,8002,PROD,955.00,RLT_10
2024,11,50000,8002,PROD,733.00,80070,8007,PROD,992.00,RLT_10
2024,11,50000,8002,PROD,733.00,90000,,ADD,48.00,RLT_10
2024,11,50000,8002,PROD,733.00,90001,,ADD,21.00,RLT_10
2024,11,80070,8007,PROD,924.00,80010,8001,PROD,"3,179.00",RLT_10
2024,11,80070,8007,PROD,924.00,90002,,ADD,28.00,RLT_10
2024,11,80070,8007,PROD,924.00,90003,,ADD,10.00,RLT_10
2024,11,80010,8001,PROD,"1,705.00",80000,8000,PROD,"2,232.00",RLT_10
2024,11,80010,8001,PROD,"1,705.00",90004,,ADD,109.00,RLT_10
2024,11,80000,8000,PROD,"2,109.00",70000,,RM,"2,643.00",RLT_10
2024,11,80000,8000,PROD,"2,109.00",90005,,ADD,66.00,RLT_10
2024,12,10000,8002,FIN,"1,057.00",50000,8002,PROD,"1,057.00",RLT_10
2024,12,50000,8002,PROD,755.00,80070,8007,PROD,"1,007.00",RLT_10
2024,12,50000,8002,PROD,755.00,90000,,ADD,53.00,RLT_10
2024,12,50000,8002,PROD,755.00,90001,,ADD,20.00,RLT_10
2024,12,80070,8007,PROD,987.00,80010,8001,PROD,"3,444.00",RLT_10
2024,12,80070,8007,PROD,987.00,90002,,ADD,27.00,RLT_10
2024,12,80070,8007,PROD,987.00,90003,,ADD,9.00,RLT_10
2024,12,80010,8001,PROD,"1,649.00",80000,8000,PROD,"1,684.00",RLT_10
2024,12,80010,8001,PROD,"1,649.00",90004,,ADD,98.00,RLT_10
2024,12,80000,8000,PROD,"1,807.00",70000,,RM,"2,556.00",RLT_10
2024,12,80000,8000,PROD,"1,807.00",90005,,ADD,64.00,RLT_10
2024,1,10001,8002,FIN,975.00,50001,8002,PROD,975.00,RLT_10
2024,1,50001,8002,PROD,739.00,80071,8007,PROD,808.00,RLT_10
2024,1,50001,8002,PROD,739.00,90005,,ADD,49.00,RLT_10
2024,1,50001,8002,PROD,739.00,90006,,ADD,21.00,RLT_10
2024,1,80071,8007,PROD,897.00,80011,8001,PROD,"3,541.00",RLT_10
2024,1,80071,8007,PROD,897.00,90007,,ADD,29.00,RLT_10
2024,1,80071,8007,PROD,897.00,90008,,ADD,11.00,RLT_10
2024,1,80011,8001,PROD,"1,670.00",80001,8000,PROD,"1,909.00",RLT_10
2024,1,80011,8001,PROD,"1,670.00",90009,,ADD,96.00,RLT_10
2024,1,80001,8000,PROD,"1,904.00",70001,,RM,"2,803.00",RLT_10
2024,1,80001,8000,PROD,"1,904.00",90010,,ADD,72.00,RLT_10
2024,2,10001,8002,FIN,"1,050.00",50001,8002,PROD,"1,050.00",RLT_10
2024,2,50001,8002,PROD,811.00,80071,8007,PROD,879.00,RLT_10
2024,2,50001,8002,PROD,811.00,90005,,ADD,48.00,RLT_10
2024,2,50001,8002,PROD,811.00,90006,,ADD,20.00,RLT_10
2024,2,80071,8007,PROD,875.00,80011,8001,PROD,"3,021.00",RLT_10
2024,2,80071,8007,PROD,875.00,90007,,ADD,29.00,RLT_10
2024,2,80071,8007,PROD,875.00,90008,,ADD,11.00,RLT_10
2024,2,80011,8001,PROD,"1,635.00",80001,8000,PROD,"2,130.00",RLT_10
2024,2,80011,8001,PROD,"1,635.00",90009,,ADD,107.00,RLT_10
2024,2,80001,8000,PROD,"2,144.00",70001,,RM,"2,538.00",RLT_10
2024,2,80001,8000,PROD,"2,144.00",90010,,ADD,73.00,RLT_10
2024,3,10001,8002,FIN,955.00,50001,8002,PROD,955.00,RLT_10
2024,3,50001,8002,PROD,795.00,80071,8007,PROD,818.00,RLT_10
2024,3,50001,8002,PROD,795.00,90005,,ADD,46.00,RLT_10
2024,3,50001,8002,PROD,795.00,90006,,ADD,20.00,RLT_10
2024,3,80071,8007,PROD,894.00,80011,8001,PROD,"3,359.00",RLT_10
2024,3,80071,8007,PROD,894.00,90007,,ADD,33.00,RLT_10
2024,3,80071,8007,PROD,894.00,90008,,ADD,9.00,RLT_10
2024,3,80011,8001,PROD,"1,708.00",80001,8000,PROD,"2,035.00",RLT_10
2024,3,80011,8001,PROD,"1,708.00",90009,,ADD,91.00,RLT_10
2024,3,80001,8000,PROD,"1,854.00",70001,,RM,"2,677.00",RLT_10
2024,3,80001,8000,PROD,"1,854.00",90010,,ADD,68.00,RLT_10
2024,4,10001,8002,FIN,"1,070.00",50001,8002,PROD,"1,070.00",RLT_10
2024,4,50001,8002,PROD,805.00,80071,8007,PROD,927.00,RLT_10
2024,4,50001,8002,PROD,805.00,90005,,ADD,53.00,RLT_10
2024,4,50001,8002,PROD,805.00,90006,,ADD,20.00,RLT_10
2024,4,80071,8007,PROD,848.00,80011,8001,PROD,"3,447.00",RLT_10
2024,4,80071,8007,PROD,848.00,90007,,ADD,30.00,RLT_10
2024,4,80071,8007,PROD,848.00,90008,,ADD,10.00,RLT_10
2024,4,80011,8001,PROD,"1,862.00",80001,8000,PROD,"2,031.00",RLT_10
2024,4,80011,8001,PROD,"1,862.00",90009,,ADD,110.00,RLT_10
2024,4,80001,8000,PROD,"2,075.00",70001,,RM,"2,616.00",RLT_10
2024,4,80001,8000,PROD,"2,075.00",90010,,ADD,65.00,RLT_10
2024,5,10001,8002,FIN,954.00,50001,8002,PROD,954.00,RLT_10
2024,5,50001,8002,PROD,757.00,80071,8007,PROD,881.00,RLT_10
2024,5,50001,8002,PROD,757.00,90005,,ADD,50.00,RLT_10
2024,5,50001,8002,PROD,757.00,90006,,ADD,19.00,RLT_10
2024,5,80071,8007,PROD,857.00,80011,8001,PROD,"3,270.00",RLT_10
2024,5,80071,8007,PROD,857.00,90007,,ADD,32.00,RLT_10
2024,5,80071,8007,PROD,857.00,90008,,ADD,11.00,RLT_10
2024,5,80011,8001,PROD,"1,630.00",80001,8000,PROD,"2,105.00",RLT_10
2024,5,80011,8001,PROD,"1,630.00",90009,,ADD,109.00,RLT_10
2024,5,80001,8000,PROD,"2,166.00",70001,,RM,"2,638.00",RLT_10
2024,5,80001,8000,PROD,"2,166.00",90010,,ADD,74.00,RLT_10
2024,6,10001,8002,FIN,901.00,50001,8002,PROD,901.00,RLT_10
2024,6,50001,8002,PROD,764.00,80071,8007,PROD,984.00,RLT_10
2024,6,50001,8002,PROD,764.00,90005,,ADD,45.00,RLT_10
2024,6,50001,8002,PROD,764.00,90006,,ADD,20.00,RLT_10
2024,6,80071,8007,PROD,988.00,80011,8001,PROD,"3,803.00",RLT_10
2024,6,80071,8007,PROD,988.00,90007,,ADD,32.00,RLT_10
2024,6,80071,8007,PROD,988.00,90008,,ADD,11.00,RLT_10
2024,6,80011,8001,PROD,"1,772.00",80001,8000,PROD,"2,364.00",RLT_10
2024,6,80011,8001,PROD,"1,772.00",90009,,ADD,98.00,RLT_10
2024,6,80001,8000,PROD,"2,185.00",70001,,RM,"2,117.00",RLT_10
2024,6,80001,8000,PROD,"2,185.00",90010,,ADD,68.00,RLT_10
2024,7,10001,8002,FIN,"1,054.00",50001,8002,PROD,"1,054.00",RLT_10
2024,7,50001,8002,PROD,764.00,80071,8007,PROD,803.00,RLT_10
2024,7,50001,8002,PROD,764.00,90005,,ADD,49.00,RLT_10
2024,7,50001,8002,PROD,764.00,90006,,ADD,20.00,RLT_10
2024,7,80071,8007,PROD,870.00,80011,8001,PROD,"3,842.00",RLT_10
2024,7,80071,8007,PROD,870.00,90007,,ADD,32.00,RLT_10
2024,7,80071,8007,PROD,870.00,90008,,ADD,10.00,RLT_10
2024,7,80011,8001,PROD,"1,773.00",80001,8000,PROD,"2,033.00",RLT_10
2024,7,80011,8001,PROD,"1,773.00",90009,,ADD,94.00,RLT_10
2024,7,80001,8000,PROD,"1,944.00",70001,,RM,"2,641.00",RLT_10
2024,7,80001,8000,PROD,"1,944.00",90010,,ADD,75.00,RLT_10
2024,8,10001,8002,FIN,"1,044.00",50001,8002,PROD,"1,044.00",RLT_10
2024,8,50001,8002,PROD,747.00,80071,8007,PROD,942.00,RLT_10
2024,8,50001,8002,PROD,747.00,90005,,ADD,47.00,RLT_10
2024,8,50001,8002,PROD,747.00,90006,,ADD,19.00,RLT_10
2024,8,80071,8007,PROD,977.00,80011,8001,PROD,"3,835.00",RLT_10
2024,8,80071,8007,PROD,977.00,90007,,ADD,29.00,RLT_10
2024,8,80071,8007,PROD,977.00,90008,,ADD,10.00,RLT_10
2024,8,80011,8001,PROD,"1,922.00",80001,8000,PROD,"1,928.00",RLT_10
2024,8,80011,8001,PROD,"1,922.00",90009,,ADD,99.00,RLT_10
2024,8,80001,8000,PROD,"1,931.00",70001,,RM,"2,797.00",RLT_10
2024,8,80001,8000,PROD,"1,931.00",90010,,ADD,68.00,RLT_10
2024,9,10001,8002,FIN,941.00,50001,8002,PROD,941.00,RLT_10
2024,9,50001,8002,PROD,861.00,80071,8007,PROD,"1,018.00",RLT_10
2024,9,50001,8002,PROD,861.00,90005,,ADD,47.00,RLT_10
2024,9,50001,8002,PROD,861.00,90006,,ADD,21.00,RLT_10
2024,9,80071,8007,PROD,958.00,80011,8001,PROD,"3,219.00",RLT_10
2024,9,80071,8007,PROD,958.00,90007,,ADD,32.00,RLT_10
2024,9,80071,8007,PROD,958.00,90008,,ADD,10.00,RLT_10
2024,9,80011,8001,PROD,"1,707.00",80001,8000,PROD,"2,108.00",RLT_10
2024,9,80011,8001,PROD,"1,707.00",90009,,ADD,101.00,RLT_10
2024,9,80001,8000,PROD,"1,950.00",70001,,RM,"2,429.00",RLT_10
2024,9,80001,8000,PROD,"1,950.00",90010,,ADD,66.00,RLT_10
2024,10,10001,8002,FIN,"1,049.00",50001,8002,PROD,"1,049.00",RLT_10
2024,10,50001,8002,PROD,810.00,80071,8007,PROD,876.00,RLT_10
2024,10,50001,8002,PROD,810.00,90005,,ADD,51.00,RLT_10
2024,10,50001,8002,PROD,810.00,90006,,ADD,19.00,RLT_10
2024,10,80071,8007,PROD,811.00,80011,8001,PROD,"3,890.00",RLT_10
2024,10,80071,8007,PROD,811.00,90007,,ADD,30.00,RLT_10
2024,10,80071,8007,PROD,811.00,90008,,ADD,10.00,RLT_10
2024,10,80011,8001,PROD,"1,895.00",80001,8000,PROD,"2,103.00",RLT_10
2024,10,80011,8001,PROD,"1,895.00",90009,,ADD,107.00,RLT_10
2024,10,80001,8000,PROD,"2,045.00",70001,,RM,"2,287.00",RLT_10
2024,10,80001,8000,PROD,"2,045.00",90010,,ADD,67.00,RLT_10
2024,11,10001,8002,FIN,949.00,50001,8002,PROD,949.00,RLT_10
2024,11,50001,8002,PROD,840.00,80071,8007,PROD,966.00,RLT_10
2024,11,50001,8002,PROD,840.00,90005,,ADD,49.00,RLT_10
2024,11,50001,8002,PROD,840.00,90006,,ADD,20.00,RLT_10
2024,11,80071,8007,PROD,927.00,80011,8001,PROD,"3,601.00",RLT_10
2024,11,80071,8007,PROD,927.00,90007,,ADD,30.00,RLT_10
2024,11,80071,8007,PROD,927.00,90008,,ADD,10.00,RLT_10
2024,11,80011,8001,PROD,"1,946.00",80001,8000,PROD,"1,938.00",RLT_10
2024,11,80011,8001,PROD,"1,946.00",90009,,ADD,100.00,RLT_10
2024,11,80001,8000,PROD,"1,859.00",70001,,RM,"2,558.00",RLT_10
2024,11,80001,8000,PROD,"1,859.00",90010,,ADD,69.00,RLT_10
2024,12,10001,8002,FIN,"1,081.00",50001,8002,PROD,"1,081.00",RLT_10
2024,12,50001,8002,PROD,794.00,80071,8007,PROD,857.00,RLT_10
2024,12,50001,8002,PROD,794.00,90005,,ADD,51.00,RLT_10
2024,12,50001,8002,PROD,794.00,90006,,ADD,21.00,RLT_10
2024,12,80071,8007,PROD,849.00,80011,8001,PROD,"3,822.00",RLT_10
2024,12,80071,8007,PROD,849.00,90007,,ADD,27.00,RLT_10
2024,12,80071,8007,PROD,849.00,90008,,ADD,9.00,RLT_10
2024,12,80011,8001,PROD,"1,780.00",80001,8000,PROD,"2,046.00",RLT_10
2024,12,80011,8001,PROD,"1,780.00",90009,,ADD,102.00,RLT_10
2024,12,80001,8000,PROD,"2,181.00",70001,,RM,"2,523.00",RLT_10
2024,12,80001,8000,PROD,"2,181.00",90010,,ADD,65.00,RLT_10
2024,1,10002,8002,FIN,"1,032.00",50002,8002,PROD,"1,032.00",RLT_14
2024,1,50002,8002,PROD,790.00,80072,8007,PROD,928.00,RLT_14
2024,1,50002,8002,PROD,790.00,90010,,ADD,52.00,RLT_14
2024,1,50002,8002,PROD,790.00,90011,,ADD,18.00,RLT_14
2024,1,80072,8007,PROD,868.00,80012,8001,PROD,"3,471.00",RLT_14
2024,1,80072,8007,PROD,868.00,90012,,ADD,32.00,RLT_14
2024,1,80072,8007,PROD,868.00,90013,,ADD,9.00,RLT_14
2024,1,80012,8001,PROD,"1,825.00",80002,8000,PROD,"2,301.00",RLT_14
2024,1,80012,8001,PROD,"1,825.00",90014,,ADD,92.00,RLT_14
2024,1,80002,8000,PROD,"2,136.00",70002,,RM,"2,860.00",RLT_14
2024,1,80002,8000,PROD,"2,136.00",90015,,ADD,70.00,RLT_14
2024,2,10002,8002,FIN,"1,084.00",50002,8002,PROD,"1,084.00",RLT_14
2024,2,50002,8002,PROD,873.00,80072,8007,PROD,873.00,RLT_14
2024,2,50002,8002,PROD,873.00,90010,,ADD,52.00,RLT_14
2024,2,50002,8002,PROD,873.00,90011,,ADD,20.00,RLT_14
2024,2,80072,8007,PROD,815.00,80012,8001,PROD,"3,812.00",RLT_14
2024,2,80072,8007,PROD,815.00,90012,,ADD,29.00,RLT_14
2024,2,80072,8007,PROD,815.00,90013,,ADD,11.00,RLT_14
2024,2,80012,8001,PROD,"1,820.00",80002,8000,PROD,"1,828.00",RLT_14
2024,2,80012,8001,PROD,"1,820.00",90014,,ADD,99.00,RLT_14
2024,2,80002,8000,PROD,"1,825.00",70002,,RM,"2,175.00",RLT_14
2024,2,80002,8000,PROD,"1,825.00",90015,,ADD,74.00,RLT_14
2024,3,10002,8002,FIN,"1,005.00",50002,8002,PROD,"1,005.00",RLT_14
2024,3,50002,8002,PROD,864.00,80072,8007,PROD,865.00,RLT_14
2024,3,50002,8002,PROD,864.00,90010,,ADD,49.00,RLT_14
2024,3,50002,8002,PROD,864.00,90011,,ADD,20.00,RLT_14
2024,3,80072,8007,PROD,896.00,80012,8001,PROD,"3,058.00",RLT_14
2024,3,80072,8007,PROD,896.00,90012,,ADD,28.00,RLT_14
2024,3,80072,8007,PROD,896.00,90013,,ADD,10.00,RLT_14
2024,3,80012,8001,PROD,"1,647.00",80002,8000,PROD,"1,826.00",RLT_14
2024,3,80012,8001,PROD,"1,647.00",90014,,ADD,101.00,RLT_14
2024,3,80002,8000,PROD,"1,945.00",70002,,RM,"2,467.00",RLT_14
2024,3,80002,8000,PROD,"1,945.00",90015,,ADD,67.00,RLT_14
2024,4,10002,8002,FIN,984.00,50002,8002,PROD,984.00,RLT_14
2024,4,50002,8002,PROD,774.00,80072,8007,PROD,917.00,RLT_14
2024,4,50002,8002,PROD,774.00,90010,,ADD,46.00,RLT_14
2024,4,50002,8002,PROD,774.00,90011,,ADD,19.00,RLT_14
2024,4,80072,8007,PROD,859.00,80012,8001,PROD,"3,313.00",RLT_14
2024,4,80072,8007,PROD,859.00,90012,,ADD,30.00,RLT_14
2024,4,80072,8007,PROD,859.00,90013,,ADD,9.00,RLT_14
2024,4,80012,8001,PROD,"1,755.00",80002,8000,PROD,"2,106.00",RLT_14
2024,4,80012,8001,PROD,"1,755.00",90014,,ADD,107.00,RLT_14
2024,4,80002,8000,PROD,"2,023.00",70002,,RM,"2,525.00",RLT_14
2024,4,80002,8000,PROD,"2,023.00",90015,,ADD,76.00,RLT_14
2024,5,10002,8002,FIN,"1,005.00",50002,8002,PROD,"1,005.00",RLT_14
2024,5,50002,8002,PROD,851.00,80072,8007,PROD,970.00,RLT_14
2024,5,50002,8002,PROD,851.00,90010,,ADD,52.00,RLT_14
2024,5,50002,8002,PROD,851.00,90011,,ADD,19.00,RLT_14
2024,5,80072,8007,PROD,924.00,80012,8001,PROD,"3,064.00",RLT_14
2024,5,80072,8007,PROD,924.00,90012,,ADD,33.00,RLT_14
2024,5,80072,8007,PROD,924.00,90013,,ADD,11.00,RLT_14
2024,5,80012,8001,PROD,"1,665.00",80002,8000,PROD,"2,127.00",RLT_14
2024,5,80012,8001,PROD,"1,665.00",90014,,ADD,104.00,RLT_14
2024,5,80002,8000,PROD,"2,063.00",70002,,RM,"2,372.00",RLT_14
2024,5,80002,8000,PROD,"2,063.00",90015,,ADD,73.00,RLT_14
2024,6,10002,8002,FIN,935.00,50002,8002,PROD,935.00,RLT_14
2024,6,50002,8002,PROD,758.00,80072,8007,PROD,"1,059.00",RLT_14
2024,6,50002,8002,PROD,758.00,90010,,ADD,54.00,RLT_14
2024,6,50002,8002,PROD,758.00,90011,,ADD,20.00,RLT_14
2024,6,80072,8007,PROD,969.00,80012,8001,PROD,"4,276.00",RLT_14
2024,6,80072,8007,PROD,969.00,90012,,ADD,28.00,RLT_14
2024,6,80072,8007,PROD,969.00,90013,,ADD,10.00,RLT_14
2024,6,80012,8001,PROD,"1,979.00",80002,8000,PROD,"1,944.00",RLT_14
2024,6,80012,8001,PROD,"1,979.00",90014,,ADD,109.00,RLT_14
2024,6,80002,8000,PROD,"1,911.00",70002,,RM,"2,787.00",RLT_14
2024,6,80002,8000,PROD,"1,911.00",90015,,ADD,72.00,RLT_14
2024,7,10002,8002,FIN,973.00,50002,8002,PROD,973.00,RLT_14
2024,7,50002,8002,PROD,798.00,80072,8007,PROD,867.00,RLT_14
2024,7,50002,8002,PROD,798.00,90010,,ADD,51.00,RLT_14
2024,7,50002,8002,PROD,798.00,90011,,ADD,20.00,RLT_14
2024,7,80072,8007,PROD,855.00,80012,8001,PROD,"3,921.00",RLT_14
2024,7,80072,8007,PROD,855.00,90012,,ADD,29.00,RLT_14
2024,7,80072,8007,PROD,855.00,90013,,ADD,9.00,RLT_14
2024,7,80012,8001,PROD,"1,964.00",80002,8000,PROD,"1,943.00",RLT_14
2024,7,80012,8001,PROD,"1,964.00",90014,,ADD,94.00,RLT_14
2024,7,80002,8000,PROD,"1,865.00",70002,,RM,"2,936.00",RLT_14
2024,7,80002,8000,PROD,"1,865.00",90015,,ADD,73.00,RLT_14
2024,8,10002,8002,FIN,"1,034.00",50002,8002,PROD,"1,034.00",RLT_14
2024,8,50002,8002,PROD,844.00,80072,8007,PROD,868.00,RLT_14
2024,8,50002,8002,PROD,844.00,90010,,ADD,46.00,RLT_14
2024,8,50002,8002,PROD,844.00,90011,,ADD,22.00,RLT_14
2024,8,80072,8007,PROD,830.00,80012,8001,PROD,"3,186.00",RLT_14
2024,8,80072,8007,PROD,830.00,90012,,ADD,29.00,RLT_14
2024,8,80072,8007,PROD,830.00,90013,,ADD,10.00,RLT_14
